Regulator	RegulatoryEffect	TargetGene
MAK	upregulates-expression	KLK3
XBP1	upregulates-expression	TPP1
KLF5	upregulates-expression	CXCR4
ATF3	downregulates-expression	SELE
MYC	upregulates-expression	EIF4G1
LDHA	upregulates-expression	HIF1A
HIF1A	upregulates-expression	LDHA
MYC	upregulates-expression	TERT
TERT	upregulates-expression	MYC
SP1	upregulates-expression	BLMH
FOXF2	upregulates-expression	BAMBI
EGR1	upregulates-expression	SLC9A3
ZNF300	upregulates-expression	IL6
KLF10	upregulates-expression	ITGAD
MYC	upregulates-expression	EIF4A1
MAX	upregulates-expression	TFRC
MARK4	upregulates-expression	CTNNB1
PPARGC1A	upregulates-expression	TFB1M
PPARGC1A	upregulates-expression	TFB2M
SPP1	upregulates-expression	EP300
TWIST1	upregulates-expression	YBX1
JUN	upregulates-expression	THBD
MOV10	downregulates-expression	RUNX1
ETV4	upregulates-expression	CCND2
ETV4	upregulates-expression	CCND3
RELA	downregulates-expression	THBD
ZFP36	downregulates-expression	VEGFA
TBL1X	upregulates-expression	SLC27A1
FOS	upregulates-expression	KRT5
RUNX1	upregulates-expression	AXIN1
TP53	upregulates-expression	CKM
ETS1	upregulates-expression	CCND1
CCND1	upregulates-expression	ETS1
MAX	upregulates-expression	EIF4G1
PAX6	upregulates-expression	PCSK1
WWTR1	downregulates-expression	ASNS
SND1	upregulates-expression	AGTR1
HIST2H3C	upregulates-expression	BCL2
TP63	upregulates-expression	DST
TFRC	upregulates-expression	MYC
MYC	upregulates-expression	TFRC
NKX2-5	downregulates-expression	MEF2C
NR1H4	downregulates-expression	EDN1
TP53	upregulates-expression	RABGGTA
DAAM1	upregulates-expression	FOXO3
DAAM1	upregulates-expression	FOXO1
DSP	downregulates-expression	CTNNB1
MED25	upregulates-expression	PLIN1
MED26	upregulates-expression	PLIN1
MED27	upregulates-expression	PLIN1
MED28	upregulates-expression	PLIN1
MED29	upregulates-expression	PLIN1
MED20	upregulates-expression	PLIN1
MED21	upregulates-expression	PLIN1
MED22	upregulates-expression	PLIN1
MED23	upregulates-expression	PLIN1
MED24	upregulates-expression	PLIN1
MED30	upregulates-expression	PLIN1
MED31	upregulates-expression	PLIN1
FST	upregulates-expression	TCF7L2
MED14	upregulates-expression	PLIN1
MED15	upregulates-expression	PLIN1
MED16	upregulates-expression	PLIN1
MED17	upregulates-expression	PLIN1
MED18	upregulates-expression	PLIN1
MED19	upregulates-expression	PLIN1
MED10	upregulates-expression	PLIN1
MED11	upregulates-expression	PLIN1
MED12	upregulates-expression	PLIN1
MED13	upregulates-expression	PLIN1
SP1	upregulates-expression	TAF7
RXRA	downregulates-expression	ABCC3
SREBF1	upregulates-expression	TM7SF2
SREBF2	upregulates-expression	TM7SF2
TM7SF2	upregulates-expression	SREBF2
MYB	upregulates-expression	KLF1
E2F1	upregulates-expression	MUC4
SP3	downregulates-expression	EAPP
FOXA1	upregulates-expression	C4BPB
FOXA2	upregulates-expression	C4BPB
FOXA3	upregulates-expression	C4BPB
NFKB1	upregulates-expression	VEGFD
STAT3	upregulates-expression	HSP90AA1
NFKB1	upregulates-expression	VEGFA
TBL1XR1	upregulates-expression	RGL1
USF1	upregulates-expression	SLC22A2
WNT4	upregulates-expression	FOXO1
GATA1	upregulates-expression	GP6
GATA1	upregulates-expression	GP9
MYB	upregulates-expression	TFEC
TCF7L2	upregulates-expression	GCG
ESR1	upregulates-expression	CCND1
GATA4	upregulates-expression	GIP
FOXF2	upregulates-expression	WASF2
ESR1	upregulates-expression	CCNA2
TBL1XR1	upregulates-expression	SULT2A1
LEF1	upregulates-expression	CACNA1G
CREBBP	upregulates-expression	TXNRD1
SETD1A	upregulates-expression	ITGA2B
SETD1B	upregulates-expression	ITGA2B
NF1	upregulates-expression	GADD45A
L1TD1	upregulates-expression	NANOG
PER1	upregulates-expression	BCL2
ASCL1	downregulates-expression	NOTCH2
ASCL1	downregulates-expression	NOTCH1
CEBPA	upregulates-expression	ELANE
CEBPB	upregulates-expression	ELANE
CEBPD	upregulates-expression	ELANE
CCNC	upregulates-expression	FABP4
TP53	upregulates-expression	FAS
ING4	downregulates-expression	ANGPT1
MAX	upregulates-expression	EIF2S1
RELA	upregulates-expression	HLA-A
TP63	upregulates-expression	FAS
MYC	upregulates-expression	GAPDH
TP73	upregulates-expression	FAS
MYOD1	downregulates-expression	NOTCH1
TGS1	upregulates-expression	ME1
RB1	downregulates-expression	BRCA1
FOXP3	upregulates-expression	USP21
JUN	upregulates-expression	TCF7L2
RELA	downregulates-expression	KLK3
NFE2L2	upregulates-expression	BRCA1
RELA	upregulates-expression	SERPINB1
PML	downregulates-expression	EAF2
PPARG	downregulates-expression	SLC2A4
SP1	upregulates-expression	ADIPOQ
RELA	upregulates-expression	SERPINE1
TCF7L1	upregulates-expression	AXIN2
AXIN2	upregulates-expression	TCF7L2
TCF7L2	upregulates-expression	AXIN2
JUND	upregulates-expression	PLAU
FOSL2	downregulates-expression	TIMP1
KLF4	downregulates-expression	IL1B
PGR	upregulates-expression	KLK4
IKBKG	upregulates-expression	CTNNB1
YAF2	downregulates-expression	E2F1
MAX	upregulates-expression	EIF4A1
FOSL2	upregulates-expression	COL1A2
STAT6	upregulates-expression	CNR1
MAX	upregulates-expression	GAPDH
NOTCH1	upregulates-expression	PTCRA
NOTCH3	upregulates-expression	PTCRA
TCF7L2	upregulates-expression	ID2
PTGDR	upregulates-expression	HIC1
ZNF300	upregulates-expression	CXCL8
STAT4	upregulates-expression	CNN2
ABL1	downregulates-expression	BCL6
ABL1	downregulates-expression	BCL2
HMGA1	upregulates-expression	CDC25A
CHD9	upregulates-expression	FHL2
NFE2L2	upregulates-expression	MTHFR
CBFB	upregulates-expression	BAX
PPARGC1A	upregulates-expression	CEBPA
ANXA8	upregulates-expression	FOXO4
ASH2L	upregulates-expression	GP1BA
CEBPB	upregulates-expression	SLC5A8
TNIK	upregulates-expression	AXIN2
BCL2	upregulates-expression	GLI1
GLI1	upregulates-expression	BCL2
GLI2	upregulates-expression	BCL2
MAML1	downregulates-expression	HEY1
MYC	upregulates-expression	EIF2S1
CREBBP	upregulates-expression	PLXND1
IL12RB1	upregulates-expression	ALOX12B
WWTR1	upregulates-expression	SMAD3
WWTR1	upregulates-expression	SMAD7
NR1I2	upregulates-expression	KLF6
IL8	upregulates-expression	TCF7L2
GATA4	upregulates-expression	IL5
GATA3	upregulates-expression	IL4
GATA3	upregulates-expression	IL5
SMARCD3	upregulates-expression	ALAS1
ELOA2	upregulates-expression	BRCA1
ELOA3	upregulates-expression	BRCA1
ATF6	upregulates-expression	HSPA5
HDAC1	downregulates-expression	BDNF
PPARG	upregulates-expression	LIPE
IL2	upregulates-expression	TERT
CLOCK	upregulates-expression	KLF15
KAT2B	upregulates-expression	NPPA
TBL1X	upregulates-expression	APOA1
TBL1X	upregulates-expression	APOA2
TBL1X	upregulates-expression	APOA5
XBP1	upregulates-expression	TLN1
MYOD1	upregulates-expression	HBEGF
RUNX1	upregulates-expression	BLK
ZNF300	upregulates-expression	MYC
FOXO4	upregulates-expression	ZFAND5
ETS2	upregulates-expression	CSF2
PPARG	downregulates-expression	SLC9A1
TAL1	upregulates-expression	MYB
KLF4	upregulates-expression	IL6
NEUROG3	upregulates-expression	VSX2
FOXM1	upregulates-expression	CENPA
FOXM1	upregulates-expression	CENPB
FOXM1	upregulates-expression	CENPF
SNAI1	downregulates-expression	CDH1
SNAI2	downregulates-expression	CDH1
RUNX2	upregulates-expression	BAX
SNRPD3	upregulates-expression	MYC
KDM2A	downregulates-expression	EREG
JUND	upregulates-expression	PENK
MYC	upregulates-expression	BMI1
IRF4	upregulates-expression	FCER2
TCF7L2	upregulates-expression	CXCL8
