Mouse	Human
Adora2b	[ADORA2B]
Adora2a	[ADORA2A]
Gm4340	[ALYREF]
Gm20741	[KRTAP13-3]
Rrp1	[RRP1]
Fam50a	[FAM50A]
Fam50b	[FAM50B]
Vps35	[VPS35]
Elk1	[ELK1]
Vps36	[VPS36]
Cyb561d2	[CYB561D2]
Rrp9	[RRP9]
Cyb561d1	[CYB561D1]
Elk3	[ELK3]
Vps39	[VPS39]
Rrp8	[RRP8]
Tektip1	[TEKTIP1]
Vps29	[VPS29]
Elk4	[ELK4]
Abcb6	[ABCB6]
Abcb7	[ABCB7]
Abcb4	[ABCB4]
Abcb5	[ABCB5]
Osbpl11	[OSBPL11]
Osbpl10	[OSBPL10]
Tcp11l1	[TCP11L1]
Abcb8	[ABCB8]
Abcb9	[ABCB9]
Tcp11l2	[TCP11L2]
Hhla1	[HHLA1]
Tent4a	[TENT4A]
Tent4b	[TENT4B]
Pcnx3	[PCNX3]
Pcnx4	[PCNX4]
Pcnx2	[PCNX2]
Potefam3e	[POTEJ]
Hus1	[HUS1]
Vps25	[VPS25]
Potefam3a	[POTEJ]
Potefam3b	[POTEJ]
Potefam3c	[POTEJ]
Vps28	[VPS28]
Potefam3d	[POTEJ]
Vps18	[VPS18]
Chid1	[CHID1]
Abcc3	[ABCC3]
Abcc4	[ABCC4]
Abcc1	[ABCC1]
Abcc2	[ABCC2]
Abcc8	[ABCC8]
Abcc5	[ABCC5]
Abcc6	[ABCC6]
Tent5a	[TENT5A]
Abcc9	[ABCC9]
Art2b	[ART2BP]
Tent5d	[TENT5D]
Tent5b	[TENT5B]
Tent5c	[TENT5C]
Ghrhr	[GHRHR]
Mcam	[MCAM]
Vps11	[VPS11]
Mcat	[MCAT]
Ankra2	[ANKRA2]
Vps16	[VPS16]
Abo	[ABO]
Abr	[ABR]
Bcan	[BCAN]
Wdhd1	[WDHD1]
Bcam	[BCAM]
Chic2	[CHIC2]
Chic1	[CHIC1]
T	[TBXT]
Rrs1	[RRS1]
Nfe2	[NFE2]
Plk5	[PLK5]
a	[ASIP]
Plk3	[PLK3]
Ace	[ACE]
Plk4	[PLK4]
Acd	[ACD]
Plk1	[PLK1]
Plk2	[PLK2]
Trbc2	[TRB, TRBC2, TRBC1]
Trbc1	[TRB, TRBC2, TRBC1]
Bmpr1a	[BMPR1A]
Cyb561a3	[CYB561A3]
Bmpr1b	[BMPR1B]
Ell2	[ELL2]
Grpr	[GRPR]
Ell3	[ELL3]
Abca1	[ABCA1]
Abca2	[ABCA2]
Acr	[ACR]
Abca5	[ABCA5]
Abca6	[ABCA6]
Abca3	[ABCA3]
Abca4	[ABCA4]
Abca9	[ABCA9]
Abca7	[ABCA7]
Ada	[ADA]
Tmt1a3	[TMT1A]
Glcci1	[GLCCI1]
Pllp	[PLLP]
Rrp12	[RRP12]
Zscan4-ps3	[ZSCAN4]
Adk	[ADK]
Tmt1a2	[TMT1A]
Adm	[ADM]
Rrp15	[RRP15]
Ado	[ADO]
Arih2os	[ARIH2OS]
Rpl37rt	[RPL37]
Chia1	[CHIA]
Zik1	[ZIK1]
Folh1	[FOLH1, FOLH1B]
Lrrc7	[LRRC7]
Nup85	[NUP85]
Edrf1	[EDRF1]
Lrrc9	[LRRC9]
Nup88	[NUP88]
Aen	[AEN]
Diras1	[DIRAS1]
Diras2	[DIRAS2]
Irak1bp1	[IRAK1BP1]
1700022I11Rik	[C9orf131]
Lrrd1	[LRRD1]
Nup93	[NUP93]
Lmbr1	[LMBR1]
Bglap	[BGLAP]
Gm5698	[ALYREF]
Gemin6	[GEMIN6]
Ep300	[EP300]
Ctla4	[CTLA4]
Gemin7	[GEMIN7]
Afm	[AFM]
Rrp36	[RRP36]
Nup98	[NUP98]
Gemin4	[GEMIN4]
Afp	[AFP]
Gemin5	[GEMIN5]
Gemin8	[GEMIN8]
Tbccd1	[TBCCD1]
Nfib	[NFIB]
Nfia	[NFIA]
Acvrl1	[ACVRL1]
Nfic	[NFIC]
Rrp1b	[RRP1B]
Lrrc3	[LRRC3]
Fosb	[FOSB]
Lrrc4	[LRRC4]
Aga	[AGA]
Lrrc1	[LRRC1]
Lrrc2	[LRRC2]
Ankrd9	[ANKRD9]
Agk	[AGK]
Tex19.2	[TEX19]
Tex19.1	[TEX19]
Mcf2	[MCF2]
Agl	[AGL]
Elp2	[ELP2]
Elp1	[ELP1]
Ankrd2	[ANKRD2]
Scand1	[SCAND1]
Elp4	[ELP4]
Ankrd1	[ANKRD1]
Elp3	[ELP3]
Pdzrn4	[PDZRN4]
Elp6	[ELP6]
Ankrd7	[ANKRD7]
Ankrd6	[ANKRD6]
Elp5	[ELP5]
Agt	[AGT]
Pdzrn3	[PDZRN3]
Mcee	[MCEE]
Gemin2	[GEMIN2]
Cyp21a1	[CYP21A1P, CYP21A2]
Plp2	[PLP2]
Eloa	[ELOA3DP, ELOA3P, ELOA2, ELOA]
Eloc	[ELOC]
Plp1	[PLP1]
Elob	[ELOB]
Gm3055	[ZNF624]
Atxn3	[ATXN3]
Bche	[BCHE]
Atxn1	[ATXN1]
Atxn2	[ATXN2]
Ripply2	[RIPPLY2]
Antkmt	[ANTKMT]
Atxn7	[ATXN7]
Ripply3	[RIPPLY3]
Rimbp2	[RIMBP2]
Ripply1	[RIPPLY1]
Rimbp3	[RIMBP3, RIMBP3C, RIMBP3B]
Ahr	[AHR]
Mtrex	[MTREX]
Pls3	[PLS3]
Oip5	[OIP5]
Pls1	[PLS1]
Cerox1	[CEROX1]
Nfix	[NFIX]
Mtrf1	[MTRF1]
Ak1	[AK1]
Dio1	[DIO1]
Cfl1	[CFL1]
Dio2	[DIO2]
Ak3	[AK3]
Dio3	[DIO3]
Ak2	[AK2]
Cfl2	[CFL2]
Aip	[AIP]
Ak5	[AK5]
Ak4	[AK4]
Ak7	[AK7]
Mir101b	[MIR101-2]
Ak6	[AK6]
Ak9	[AK9]
Ak8	[AK8]
Mir101a	[MIR101-1]
Thg1l	[THG1L]
6430571L13Rik	[C3orf18]
Porcn	[PORCN]
Cnot11	[CNOT11]
Eif4ebp2	[EIF4EBP2]
Eif4ebp1	[EIF4EBP1]
Eif4ebp3	[EIF4EBP3]
Angel2	[ANGEL2]
Angel1	[ANGEL1]
Cnot10	[CNOT10]
Vsig10	[VSIG10]
Mcl1	[MCL1]
Bcl9	[BCL9]
Bcl6	[BCL6]
Alb	[ALB]
Bcl3	[BCL3]
Bcl2	[BCL2]
Tsen2	[TSEN2]
Pdlim3	[PDLIM3]
Alk	[ALK]
Pdlim2	[PDLIM2]
Pdlim1	[PDLIM1]
Mcm7	[MCM7]
Vps72	[VPS72]
Mcm8	[MCM8]
Mcm9	[MCM9]
Gm4301	[ALYREF]
Tnks1bp1	[TNKS1BP1]
Gm4302	[ALYREF]
Birc3	[BIRC3]
Gm4303	[ALYREF]
Birc2	[BIRC2]
Gm4305	[ALYREF]
Gm4307	[ALYREF]
Pcdhac1	[PCDHAC1]
Birc7	[BIRC7]
Pdlim7	[PDLIM7]
Pcdhac2	[PCDHAC2]
Birc6	[BIRC6]
Birc5	[BIRC5]
Pdlim5	[PDLIM5]
Pdlim4	[PDLIM4]
Nfkbil1	[NFKBIL1]
Oit3	[OIT3]
Amh	[AMH]
Plut	[PLUT]
Rrp7a	[RRP7A, RRP7BP]
Amn	[AMN]
Dis3	[DIS3]
Gm4312	[ALYREF]
Them4	[THEM4]
Amt	[AMT]
Them5	[THEM5]
Pmfbp1	[PMFBP1]
Cimip4	[CIMIP4]
Them6	[THEM6]
Them7	[THEM7P]
Cimip1	[CIMIP1]
Fam53a	[FAM53A]
Mir496a	[MIR496]
Fam53b	[FAM53B]
Fam53c	[FAM53C]
Osbp2	[OSBP2]
Vps4a	[VPS4A]
Vps4b	[VPS4B]
Mcm3	[MCM3]
Mcm4	[MCM4]
Xcl1	[XCL2, XCL1]
Mcm5	[MCM5]
Ang	[ANG]
Mcm6	[MCM6]
Pltp	[PLTP]
Mcm2	[MCM2]
Ank	[ANKH]
Inafm2	[INAFM2]
Inafm1	[INAFM1]
Vps50	[VPS50]
Vps51	[VPS51]
Vps52	[VPS52]
Vps53	[VPS53]
Vps54	[VPS54]
9130008F23Rik	[C6orf141]
Osbpl1a	[OSBPL1A]
D2hgdh	[D2HGDH]
Mir3618	[MIR3618]
Gm5617	[C11orf71]
Nfs1	[NFS1]
Lrrk1	[LRRK1]
Lrrk2	[LRRK2]
C1d	[C1D]
Arrb2	[ARRB2]
Arrb1	[ARRB1]
Bco2	[BCO2]
Bco1	[BCO1]
